DATE,GNP
1947-01-01,244.058
1947-04-01,247.362
1947-07-01,251.246
1947-10-01,261.545
1948-01-01,267.564
1948-04-01,274.376
1948-07-01,280.98
1948-10-01,282.127
1949-01-01,276.756
1949-04-01,273.021
1949-07-01,274.535
1949-10-01,272.117
1950-01-01,282.437
1950-04-01,292.051
1950-07-01,310.117
1950-10-01,321.929
1951-01-01,337.909
1951-04-01,346.338
1951-07-01,353.77
1951-10-01,358.731
1952-01-01,362.196
1952-04-01,363.433
1952-07-01,370.066
1952-10-01,383.18
1953-01-01,390.38
1953-04-01,394.311
1953-07-01,393.505
1953-10-01,388.349
1954-01-01,387.924
1954-04-01,388.714
1954-07-01,393.634
1954-10-01,402.691
1955-01-01,416.176
1955-04-01,424.624
1955-07-01,433.372
1955-10-01,440.314
1956-01-01,443.342
1956-04-01,449.609
1956-07-01,454.917
1956-10-01,463.838
1957-01-01,473.663
1957-04-01,476.202
1957-07-01,483.548
1957-10-01,478.215
1958-01-01,470.983
1958-04-01,475.48
1958-07-01,489.258
1958-10-01,502.965
1959-01-01,513.646
1959-04-01,526.841
1959-07-01,528.026
1959-10-01,532.352
1960-01-01,546.274
1960-04-01,545.701
1960-07-01,549.176
1960-10-01,544.419
1961-01-01,549.525
1961-04-01,560.83
1961-07-01,571.73
1961-10-01,585.221
1962-01-01,598.777
1962-04-01,606.572
1962-07-01,613.626
1962-10-01,617.862
1963-01-01,627.186
1963-04-01,636.172
1963-07-01,649.398
1963-10-01,659.465
1964-01-01,676.207
1964-04-01,685.632
1964-07-01,697.855
1964-10-01,703.122
1965-01-01,724.683
1965-04-01,738.01
1965-07-01,755.437
1965-10-01,777.891
1966-01-01,802.326
1966-04-01,812.205
1966-07-01,825.765
1966-10-01,840.127
1967-01-01,851.267
1967-04-01,856.138
1967-07-01,872.303
1967-10-01,888.785
1968-01-01,916.952
1968-04-01,942.297
1968-07-01,958.599
1968-10-01,976.4
1969-01-01,1001.753
1969-04-01,1017.522
1969-07-01,1037.964
1969-10-01,1046.758
1970-01-01,1059.815
1970-04-01,1076.747
1970-07-01,1095.045
1970-10-01,1097.526
1971-01-01,1145.226
1971-04-01,1167.33
1971-07-01,1187.573
1971-10-01,1201.313
1972-01-01,1241.982
1972-04-01,1278.238
1972-07-01,1302.756
1972-10-01,1341.046
1973-01-01,1391.35
1973-04-01,1429.221
1973-07-01,1450.69
1973-10-01,1493.371
1974-01-01,1511.721
1974-04-01,1550.617
1974-07-01,1578.673
1974-10-01,1616.343
1975-01-01,1630.949
1975-04-01,1668.104
1975-07-01,1726.81
1975-10-01,1781.833
1976-01-01,1840.255
1976-04-01,1873.589
1976-07-01,1907.619
1976-10-01,1956.29
1977-01-01,2013.299
1977-04-01,2080.914
1977-07-01,2143.272
1977-10-01,2187.485
1978-01-01,2230.781
1978-04-01,2355.312
1978-07-01,2419.756
1978-10-01,2506.75
1979-01-01,2557.235
1979-04-01,2625.36
1979-07-01,2706.482
1979-10-01,2767.203
1980-01-01,2834.512
1980-04-01,2835.749
1980-07-01,2894.458
1980-10-01,3022.051
1981-01-01,3163.202
1981-04-01,3197.264
1981-07-01,3293.897
1981-10-01,3321.165
1982-01-01,3309.801
1982-04-01,3372.209
1982-07-01,3402.099
1982-10-01,3441.903
1983-01-01,3514.372
