"","x"
"1","State 2"
"2","State 2"
"3","State 2"
"4","State 2"
"5","State 2"
"6","State 2"
"7","State 2"
"8","State 2"
"9","State 2"
"10","State 2"
"11","State 2"
"12","State 2"
"13","State 2"
"14","State 2"
"15","State 2"
"16","State 2"
"17","State 2"
"18","State 2"
"19","State 2"
"20","State 2"
"21","State 2"
"22","State 2"
"23","State 2"
"24","State 2"
"25","State 2"
"26","State 2"
"27","State 2"
"28","State 2"
"29","State 2"
"30","State 2"
"31","State 2"
"32","State 2"
"33","State 2"
"34","State 2"
"35","State 2"
"36","State 2"
"37","State 2"
"38","State 2"
"39","State 2"
"40","State 2"
"41","State 1"
"42","State 1"
"43","State 1"
"44","State 1"
"45","State 1"
"46","State 1"
"47","State 1"
"48","State 1"
"49","State 1"
"50","State 1"
"51","State 1"
"52","State 1"
"53","State 1"
"54","State 1"
"55","State 1"
"56","State 1"
"57","State 1"
"58","State 1"
"59","State 1"
"60","State 1"
"61","State 1"
"62","State 1"
"63","State 1"
"64","State 1"
"65","State 1"
"66","State 1"
"67","State 1"
"68","State 1"
"69","State 1"
"70","State 1"
"71","State 1"
"72","State 1"
"73","State 1"
"74","State 1"
"75","State 1"
"76","State 1"
"77","State 1"
"78","State 1"
"79","State 1"
"80","State 1"
"81","State 1"
"82","State 1"
"83","State 1"
"84","State 1"
"85","State 1"
"86","State 1"
"87","State 1"
"88","State 1"
"89","State 1"
"90","State 1"
"91","State 1"
"92","State 1"
"93","State 1"
"94","State 2"
"95","State 2"
"96","State 2"
"97","State 2"
"98","State 2"
"99","State 2"
"100","State 2"
"101","State 2"
"102","State 2"
"103","State 2"
"104","State 2"
"105","State 2"
"106","State 2"
"107","State 2"
"108","State 2"
"109","State 2"
"110","State 2"
"111","State 2"
"112","State 2"
"113","State 2"
"114","State 2"
"115","State 2"
"116","State 2"
"117","State 2"
"118","State 2"
"119","State 2"
"120","State 2"
"121","State 2"
"122","State 2"
"123","State 2"
"124","State 2"
"125","State 2"
"126","State 2"
"127","State 2"
"128","State 2"
"129","State 2"
"130","State 2"
"131","State 2"
"132","State 2"
"133","State 2"
"134","State 2"
"135","State 2"
"136","State 2"
"137","State 2"
"138","State 2"
"139","State 2"
"140","State 2"
"141","State 2"
"142","State 2"
"143","State 2"
"144","State 2"
"145","State 2"
"146","State 2"
"147","State 2"
"148","State 2"
"149","State 1"
"150","State 1"
"151","State 1"
"152","State 1"
"153","State 1"
"154","State 1"
"155","State 1"
"156","State 1"
"157","State 1"
"158","State 1"
"159","State 1"
"160","State 1"
"161","State 1"
"162","State 1"
"163","State 1"
"164","State 1"
"165","State 1"
"166","State 1"
"167","State 1"
"168","State 1"
"169","State 1"
"170","State 1"
"171","State 1"
"172","State 1"
"173","State 1"
"174","State 1"
"175","State 1"
"176","State 1"
"177","State 1"
"178","State 1"
"179","State 1"
"180","State 1"
"181","State 1"
"182","State 1"
"183","State 1"
"184","State 1"
"185","State 1"
"186","State 2"
"187","State 2"
"188","State 2"
"189","State 2"
"190","State 2"
"191","State 2"
"192","State 2"
"193","State 2"
"194","State 2"
"195","State 1"
"196","State 1"
"197","State 1"
"198","State 1"
"199","State 1"
"200","State 1"
"201","State 1"
"202","State 1"
"203","State 1"
"204","State 1"
"205","State 1"
"206","State 1"
"207","State 1"
"208","State 1"
"209","State 1"
"210","State 1"
"211","State 1"
"212","State 1"
"213","State 1"
"214","State 1"
"215","State 1"
