,AAA,BB,CCC,price
1,0.0739,0.0973,0.2051,-0.020108083
2,0.0724,0.1003,0.2018,0.096719828
3,0.0747,0.1057,0.2058,-0.030795756
4,0.0757,0.1068,0.2278,-0.021915051
5,0.0731,0.1035,0.2192,0.02393355
6,0.0722,0.1027,0.2234,-0.016341276
7,0.0705,0.099,0.2241,0.060699105
8,0.0697,0.0993,0.2342,-0.053482975
9,0.0698,0.1047,0.2519,-0.004949486
10,0.0674,0.1006,0.2828,-0.08006861
11,0.063,0.0991,0.2909,0.004053446
12,0.0599,0.0916,0.2363,0.034636577
13,0.0582,0.0899,0.2257,-0.092290736
14,0.0574,0.0907,0.2494,-0.064204711
15,0.0588,0.0932,0.2538,0.076814362
16,0.0581,0.0874,0.2448,0.005090187
17,0.0585,0.0909,0.2612,-0.025035389
18,0.0541,0.0887,0.2575,-0.01074015
19,0.0525,0.0871,0.2498,-0.064108407
20,0.049,0.1004,0.284,-0.081723406
21,0.0452,0.0917,0.2711,0.018099111
22,0.048,0.0887,0.269,0.075175904
23,0.0504,0.0905,0.2721,0.007573834
24,0.0514,0.089,0.2594,-0.015573833
25,0.0512,0.093,0.2625,-0.020766211
26,0.0576,0.0878,0.2498,0.036738894
27,0.0543,0.0854,0.2095,-0.061417626
28,0.054,0.099,0.2053,-0.009081481
29,0.0525,0.0978,0.2299,-0.072455354
30,0.0499,0.1005,0.2445,-0.079004275
31,0.0463,0.0983,0.258,0.004881433
32,0.0433,0.0978,0.2593,-0.110024318
33,0.0446,0.0995,0.2574,0.086448801
34,0.0462,0.0936,0.2301,0.057069621
35,0.0423,0.0924,0.22,-0.060332573
36,0.0433,0.0896,0.2076,-0.027414693
37,0.0402,0.0856,0.209,-0.017003609
38,0.0406,0.0807,0.1982,0.008357569
39,0.0398,0.0719,0.1668,0.081044107
40,0.036,0.0698,0.158,0.05089871
41,0.0367,0.0666,0.1488,0.011322215
42,0.044,0.072,0.1455,0.016223702
43,0.0434,0.0716,0.1443,0.017873203
44,0.0382,0.0672,0.134,-0.011944365
45,0.041,0.0644,0.13,0.054961486
46,0.0418,0.0621,0.1275,0.007128504
47,0.0404,0.0605,0.1164,0.050765541
48,0.0398,0.0589,0.1104,0.017276387
49,0.0383,0.0578,0.1144,0.012208973
50,0.0366,0.056,0.1164,-0.016358919
51,0.0434,0.0608,0.1177,-0.016790752
52,0.0457,0.066,0.1234,0.01208345
53,0.046,0.0658,0.1196,0.017988999
54,0.0449,0.0637,0.1204,-0.034290519
55,0.0414,0.0617,0.1186,0.00228735
56,0.0418,0.06,0.1178,0.009363876
57,0.041,0.0581,0.1127,0.014014244
58,0.0442,0.0594,0.1062,0.038594936
59,0.0429,0.0595,0.1012,0.032458213
60,0.0434,0.06,0.1063,-0.025290467
61,0.0457,0.0591,0.1031,0.018903346
62,0.0482,0.0667,0.1157,-0.019117656
63,0.0462,0.0674,0.1279,-0.020108582
64,0.0449,0.0684,0.1222,0.029952046
65,0.0447,0.0662,0.1217,-0.000142714
66,0.0479,0.0648,0.1174,0.035968287
67,0.0457,0.0666,0.1172,-0.011222105
68,0.0488,0.0698,0.1163,0.006949025
69,0.0511,0.0722,0.1214,-0.01774078
70,0.0511,0.0718,0.1218,0.035186096
71,0.0505,0.0741,0.115,-0.000952349
72,0.0516,0.071,0.1142,0.025466771
73,0.0525,0.0727,0.1114,0.000453158
74,0.0548,0.0732,0.1103,0.01109581
75,0.0559,0.0744,0.1071,0.012155653
76,0.057,0.0764,0.1077,-0.030916916
77,0.0578,0.0781,0.1152,8.66E-05
78,0.0561,0.0758,0.1144,0.005085879
79,0.0539,0.0731,0.1136,0.021274193
80,0.0528,0.0705,0.1123,0.024566299
81,0.0526,0.0693,0.107,0.031508003
82,0.0512,0.0667,0.1029,0.016466657
83,0.0534,0.067,0.1,0.012615783
84,0.0544,0.0675,0.0962,0.014059043
85,0.0518,0.066,0.0933,-0.021846176
86,0.0526,0.0671,0.0949,0.009979983
87,0.0525,0.0659,0.0923,0.043290691
88,0.0554,0.0668,0.0913,0.032549229
89,0.0565,0.072,0.0979,-0.017816322
90,0.055,0.0785,0.1133,-0.031981878
91,0.0533,0.0797,0.1154,0.012863572
92,0.0533,0.0758,0.1107,0.035794008
93,0.0525,0.0767,0.1098,0.014822338
94,0.0478,0.0814,0.1237,-0.044043417
95,0.0488,0.0827,0.1263,-0.008628509
96,0.0451,0.0824,0.1407,-0.061163432
97,0.0434,0.0823,0.1448,-0.034761193
98,0.0446,0.0874,0.1535,-0.005959624
99,0.0483,0.0787,0.1409,0.047546698
100,0.051,0.0815,0.1468,0.010674182
101,0.0507,0.0862,0.1509,-0.085962385
102,0.051,0.0898,0.1596,-0.009859371
103,0.0497,0.0895,0.1682,0.012190465
104,0.0645,0.1047,0.2073,-0.090791434
105,0.0695,0.149,0.3005,-0.169424524
106,0.0594,0.1599,0.3834,-0.074849043
107,0.0507,0.1463,0.3108,0.007821577
108,0.0566,0.1332,0.3192,-0.085657343
109,0.0611,0.132,0.3618,-0.109931198
110,0.0472,0.1296,0.3232,0.085404462
111,0.0475,0.1153,0.2493,0.09392508
112,0.044,0.1077,0.2135,0.053081446
113,0.0396,0.1046,0.1875,0.000195827
114,0.0399,0.0918,0.1659,0.074141727
115,0.0368,0.0907,0.1677,0.033560189
116,0.0352,0.0803,0.1453,0.035723346
117,0.0359,0.0804,0.1425,-0.019762001
118,0.0328,0.0802,0.1367,0.057364062
119,0.0373,0.0757,0.1253,0.017770571
120,0.0346,0.0754,0.121,-0.036974246
121,0.0336,0.0755,0.1286,0.028513689
122,0.035,0.0702,0.1196,0.058796426
123,0.0328,0.0684,0.1113,0.01475923
124,0.0321,0.0767,0.129,-0.081975842
125,0.0291,0.0746,0.1287,-0.053882442
126,0.0268,0.0685,0.1211,0.06877785
127,0.024,0.0679,0.1278,-0.047449184
128,0.0237,0.0626,0.1188,0.087551103
129,0.0228,0.0605,0.1106,0.036855994
130,0.0246,0.0654,0.1162,-0.00229025
131,0.029,0.0637,0.1066,0.06530004
132,0.0288,0.0608,0.1005,0.022645574
133,0.0298,0.0599,0.0986,0.031956564
134,0.0296,0.0597,0.103,-0.001047313
135,0.0276,0.0581,0.0994,0.02849538
136,0.0256,0.0582,0.1,-0.013500953
137,0.0264,0.0616,0.1066,-0.018257461
138,0.0244,0.0591,0.1058,-0.021474426
139,0.0226,0.0685,0.1314,-0.056791107
140,0.0222,0.0763,0.1538,-0.071761988
141,0.0221,0.0656,0.1335,0.107723039
142,0.0229,0.0701,0.1512,-0.005058715
143,0.0207,0.0627,0.1422,0.008532764
144,0.0197,0.0577,0.1274,0.043583062
145,0.0196,0.0539,0.1193,0.040589464
146,0.0197,0.0568,0.1196,0.031332315
147,0.019,0.0554,0.1173,-0.007497453
148,0.0187,0.0606,0.1304,-0.062650726
149,0.0185,0.0577,0.1209,0.039554982
150,0.0161,0.0536,0.1179,0.012597574
151,0.0159,0.0525,0.1151,0.01976337
152,0.0157,0.0512,0.1107,0.024236154
153,0.0155,0.05,0.11,-0.01978941
154,0.0153,0.0497,0.1101,0.002846717
155,0.02,0.0481,0.1048,0.00706823
156,0.0211,0.0467,0.0978,0.050428097
157,0.0201,0.0465,0.0965,0.011060649
158,0.0203,0.0465,0.0934,0.035987724
159,0.0193,0.0431,0.0875,0.018085768
160,0.023,0.0472,0.0919,0.020762812
161,0.027,0.0554,0.1026,-0.014999302
162,0.0275,0.0515,0.0967,0.04946208
163,0.0286,0.0532,0.0989,-0.031298019
164,0.0276,0.0522,0.0998,0.029749523
165,0.0274,0.0478,0.0931,0.044595753
166,0.0279,0.0482,0.092,0.028049472
167,0.0294,0.0475,0.0922,0.023562792
168,0.027,0.0473,0.0931,-0.035582906
169,0.0266,0.0439,0.0877,0.04311703
170,0.0266,0.0447,0.0912,0.006932166
171,0.026,0.044,0.0878,0.006200789
172,0.0247,0.0431,0.0824,0.02103028
173,0.0251,0.043,0.08,0.019058332
174,0.0259,0.0476,0.0898,-0.015079831
175,0.0246,0.0443,0.0869,0.037655295
176,0.0268,0.0499,0.0964,-0.015513837
177,0.0258,0.0464,0.0983,0.023201461
178,0.0244,0.0484,0.1034,0.024533589
179,0.025,0.0503,0.1124,-0.004188588
180,0.0211,0.0488,0.1084,-0.031040806
181,0.0249,0.0452,0.1003,0.054892511
182,0.0241,0.0473,0.1066,-0.017396107
183,0.0251,0.0465,0.1047,0.00852082
184,0.0263,0.0469,0.1069,0.010491382
185,0.0282,0.0519,0.1169,-0.021011672
186,0.0278,0.0522,0.1306,0.01974203
187,0.0283,0.0559,0.129,-0.062580818
188,0.0268,0.061,0.1422,-0.026442832
189,0.027,0.0546,0.139,0.082983118
190,0.0281,0.0583,0.1661,0.000504869
191,0.0286,0.0609,0.1815,-0.017530185
192,0.0269,0.0636,0.1988,-0.050735322
193,0.0255,0.0612,0.2099,-0.00412836
194,0.0247,0.0566,0.1892,0.065991115
195,0.0249,0.0523,0.1663,0.002699398
196,0.0256,0.052,0.1535,0.015324602
197,0.0234,0.0515,0.151,0.000910921
198,0.0228,0.0476,0.1445,0.035609801
199,0.0241,0.0451,0.1362,-0.001219243
200,0.0247,0.0453,0.1309,-0.001234451
201,0.0264,0.0465,0.1295,-0.019425679
202,0.0305,0.0493,0.1269,0.034174522
203,0.0305,0.0472,0.1149,0.018200762
204,0.031,0.0464,0.106,0.017884358
205,0.0303,0.0447,0.0983,0.03719816
206,0.0307,0.0455,0.1037,-0.000389197
207,0.0299,0.0431,0.103,0.009091209
208,0.029,0.0422,0.1003,0.011576251
209,0.0291,0.0429,0.1056,0.004813775
210,0.0288,0.0414,0.102,0.019348826
211,0.0279,0.0417,0.1062,0.000546433
212,0.0287,0.0412,0.1034,0.019302979
213,0.0289,0.0415,0.1053,0.022188135
214,0.0299,0.0428,0.1081,0.028082628
215,0.0295,0.0442,0.1053,0.00983163
