date,<= 6 Month,> 6 and <= 12 Month,> 12 and <= 18 Month,> 18 and <= 24 Month,> 24 and <= 30 Month,> 30 and <= 36 Month,> 36 and <= 42 Month,> 42 and <= 48 Month,> 48 and <= 54 Month,> 54 and <= 60 Month,> 60 and <= 120 Month,> 120 Month,<= 12 Month,> 12 and <= 24 Month,> 24 and <= 36 Month,> 36 and <= 48 Month,> 48 and <= 60 Month
1952-01-31,0.00208,0.00217,,0.0034,0.00423,0.00735,0.0042,0.00689,0.00769,0.00643,0.00377,0.00282,0.00214,0.0034,0.00501,0.00555,0.00706
1952-02-29,0.00126,0.00159,,0.00158,0.00181,0.00158,0.00234,0.00188,0.00248,0.00185,-0.00202,0.00139,0.00142,0.00158,0.00174,0.00211,0.00216
1952-03-31,0.002,0.00236,0.0026,0.00399,0.00293,0.00423,0.00266,0.00496,0.00477,0.00733,0.00726,0.01107,0.00218,0.0033,0.0038,0.0042,0.00605
1952-04-30,0.00122,0.00168,0.00194,0.00113,0.00225,0.00261,0.00229,0.00342,0.00598,,0.00566,0.01707,0.00137,0.00153,0.00249,0.00314,0.00598
1952-05-29,0.00104,0.001,0.00141,0.00109,0.00095,0.00044,0.00068,8e-05,-0.00069,0.00248,0.00173,-0.00335,0.00103,0.00125,0.00061,0.00023,0.00089
1952-06-30,0.00093,0.00064,2e-05,0.00014,0.00018,-0.0004,-0.00055,-0.00246,-0.0012,-0.00374,-0.00366,0.0003,0.00087,0.0001,-0.00021,-0.00119,-0.00247
1952-07-31,0.00146,0.00123,0.00167,0.0001,0.00029,-6e-05,-0.00061,-0.00188,-0.00188,-0.00252,-0.00315,-0.00197,0.00138,0.00062,5e-05,-0.00103,-0.0022
1952-08-29,0.00138,0.00105,0.00094,0.0004,-0.00107,0.00086,-0.00086,0.00073,-0.00038,0.00057,-0.00172,-0.007,0.00129,0.00058,0.00022,-0.00033,0.0001
1952-09-30,0.00195,0.00208,0.00184,0.00206,0.00114,0.00196,0.00196,0.00117,0.00101,-0.00121,0.00029,-0.01301,0.00203,0.00195,0.00141,0.0017,-0.0001
1952-10-31,0.00166,0.00221,0.0026,0.00262,0.00276,0.00282,0.00149,0.00066,3e-05,,0.00701,0.01477,0.00199,0.00261,0.00278,0.00128,3e-05
1952-11-28,0.00102,0.00068,-6e-05,0.00028,-0.0003,0.00078,0.00104,0.00118,0.00247,0.00215,0.00154,-0.00154,0.00077,5e-05,6e-05,0.00107,0.00231
1952-12-31,0.00196,0.00213,0.00231,0.0018,0.0017,0.00068,0.0017,0.00266,0.00203,0.00268,0.00187,-0.00859,0.00206,0.00214,0.00119,0.00218,0.00236
1953-01-30,0.00233,0.00205,0.00297,0.00354,0.00234,0.00322,0.00221,0.00126,0.00126,0.00159,-8e-05,0.00118,0.00216,0.00316,0.00278,0.00173,0.00143
1953-02-27,0.00111,0.00096,0.00068,0.00029,0.0009,0.00019,-0.0001,-0.0001,-0.0001,-0.00138,0.0001,-0.00868,0.00103,0.00055,0.00055,-0.0001,-0.00074
1953-03-31,0.00151,0.00157,0.00207,0.00139,0.00166,0.00134,-0.00373,-0.00374,-0.0044,-0.00255,-0.00131,-0.00882,0.00154,0.00161,0.00145,-0.00374,-0.00316
1953-04-30,0.00093,-0.00015,-0.001,-0.00249,-0.00328,0.00016,0.00508,0.00062,-0.00582,-0.00733,-0.00908,-0.01052,0.00039,-0.002,-0.0007,0.00285,-0.00658
1953-05-29,0.00169,0.00089,0.00065,-0.00034,-0.00164,-0.00391,-0.00454,-0.00459,-0.00529,-0.01106,-0.01218,-0.01475,0.00121,-1e-05,-0.00335,-0.00456,-0.00914
1953-06-30,0.00304,0.00448,0.00535,0.00677,0.00625,0.00454,0.00584,0.0085,0.01254,0.01593,0.01467,0.02226,0.00386,0.00629,0.00568,0.00717,0.01508
1953-07-31,0.00215,0.00268,0.00296,0.0038,0.00557,0.00257,0.00258,0.0026,0.00391,0.00494,0.00653,0.00393,0.00245,0.00352,0.00457,0.00259,0.00468
1953-08-31,0.00246,0.00257,0.00326,0.003,0.00365,0.00129,0.00129,0.0013,0.00067,-0.00123,-0.00076,-0.00075,0.00252,0.00309,0.00287,0.0013,-0.00076
1953-09-30,0.00347,0.00457,0.00457,0.00418,0.005,0.00569,0.00316,0.00831,0.01449,0.01751,0.0184,0.02993,0.00402,0.00444,0.00523,0.00574,0.016
1953-10-30,0.00265,0.00457,0.00442,0.00556,0.00751,0.0114,0.00714,0.00956,0.00739,0.0038,0.0076,0.00744,0.00374,0.0048,0.00848,0.00795,0.00619
1953-11-30,0.00106,0.00153,0.00226,0.0025,0.00158,0.00255,0.00503,0.00321,0.00047,0.00231,-0.00142,-0.00494,0.00137,0.00234,0.00183,0.00443,0.00139
1953-12-31,0.00265,0.00206,0.00243,0.00251,0.00317,0.00192,0.00541,0.00574,0.00909,0.0088,0.01649,0.02061,0.00236,0.00247,0.00255,0.00552,0.00898
1954-01-29,0.00278,0.00501,0.0036,0.00758,0.00936,0.01127,0.01106,0.01257,0.01002,0.0106,0.00263,0.01877,0.00389,0.00559,0.01031,0.01156,0.01025
1954-02-26,-0.00029,0.00195,0.00205,0.00375,0.00426,0.00488,0.00588,0.00489,0.00685,0.01032,0.01013,0.01583,0.00067,0.0029,0.00457,0.00555,0.00824
1954-03-31,0.00066,0.00211,0.00047,0.00122,0.0032,0.00089,0.00259,0.00193,0.00419,0.00433,0.00739,0.00752,0.00138,0.00097,0.00166,0.00215,0.00428
1954-04-30,0.00313,0.00259,0.0023,0.00307,0.00307,0.00295,0.0006,0.00501,0.00525,0.00465,0.0116,0.00765,0.00286,0.00287,0.00299,0.00354,0.00495
1954-05-28,-0.00084,0.00025,-0.0023,0.00107,0.00176,-0.0002,0.00052,-0.00378,-0.00683,-0.00714,-0.01405,-0.01329,-0.00022,0.00023,0.00045,-0.00235,-0.00702
1954-06-30,0.00084,0.00168,0.00259,0.00505,0.00505,0.00451,0.00508,0.0068,0.00885,0.00731,0.0126,0.01166,0.0012,0.00341,0.00469,0.00637,0.00793
1954-07-30,0.00165,0.00136,0.0016,0.00121,0.00121,0.00157,0.00122,0.00181,0.00131,0.00116,0.00056,0.0073,0.00152,0.00147,0.00145,0.00166,0.00122
1954-08-31,-0.00082,-0.00072,-0.00039,0.00129,0.00129,0.0008,0.0013,-0.00054,0.00015,-5e-05,-0.0008,-0.00402,-0.00079,0.00017,0.00096,-8e-05,7e-05
1954-09-30,0.00088,-0.00032,0.00013,-0.00186,-0.00233,-0.00311,-0.00284,-0.00166,-0.00163,-0.00127,-0.00016,0.00203,0.00048,-0.00053,-0.00259,-0.00225,-0.00156
1954-10-29,0.00076,-4e-05,-0.00037,-0.0019,-0.00074,-9e-05,-0.00043,-0.00094,-0.00115,,-0.00134,0.00013,0.00049,-0.00076,-0.00041,-0.00069,-0.00115
1954-11-30,-0.00026,0.00161,0.00039,0.00255,0.00195,0.00195,0.00236,0.00106,-0.0,-0.00183,-0.00113,-0.00466,5e-05,0.00093,0.00195,0.00171,-0.00037
1954-12-31,0.00104,0.00028,-0.00059,-0.00059,0.00097,0.00065,-0.00141,-0.0008,-0.00098,-0.00188,-0.00038,-0.00099,0.00074,-0.00059,0.00089,-0.00116,-0.00121
1955-01-31,0.00011,-0.0006,-0.00059,-0.00059,-0.00262,-0.00247,-0.00074,-0.00351,-0.00154,-0.00252,-0.00377,-0.01355,-0.00024,-0.00059,-0.00258,-0.00185,-0.00179
1955-02-28,0.00013,-0.0001,-0.0032,-0.0032,-0.00444,-0.00385,-0.00533,-0.00621,-0.00777,-0.00903,-0.00554,-0.00631,4e-05,-0.0032,-0.00429,-0.00577,-0.00819
1955-03-31,0.00141,0.00183,0.00189,0.00275,0.00165,0.00135,0.0007,0.0019,0.00259,0.0026,0.00271,0.00602,0.00166,0.00246,0.0015,0.0015,0.0026
1955-04-29,0.00058,0.00043,-0.00068,-0.00062,0.0003,3e-05,0.00029,-0.00022,-0.0007,,-0.00022,-0.00313,0.00048,-0.00064,0.00017,-5e-05,-0.0007
1955-05-31,0.00191,0.00165,0.00194,0.0033,0.00228,0.0027,0.00217,0.00236,0.00233,0.00039,0.00231,0.00743,0.0017,0.00296,0.00256,0.0023,0.00136
1955-06-30,0.00081,0.00143,0.00065,-0.00024,0.0003,-0.00045,8e-05,-0.00188,-0.00422,-0.00294,-0.00479,-0.00819,0.00106,0.00012,-0.00026,-0.0011,-0.00358
1955-07-29,0.00046,-1e-05,0.00014,-0.00154,-6e-05,-0.00156,-0.00218,-0.00373,-6e-05,-0.00267,-0.00772,-0.01674,0.00027,-0.00087,-0.00119,-0.00311,-0.00137
1955-08-31,0.00088,0.00081,0.0001,-0.00072,-0.00369,-0.00118,-0.00212,-0.00174,-0.00184,-0.00381,0.00145,0.00698,0.00084,-0.00051,-0.00181,-0.00197,-0.00282
1955-09-30,0.00147,0.00174,0.00363,0.00556,0.00377,0.00572,0.00696,0.00709,0.00453,0.00588,0.00842,0.01,0.00158,0.00459,0.00475,0.00699,0.0052
1955-10-31,0.00215,0.00186,0.00311,0.00291,0.00425,0.00404,0.00352,0.00487,0.00817,,0.00765,0.01077,0.00206,0.00301,0.00414,0.00379,0.00817
1955-11-30,0.00078,-0.00036,-0.00168,-0.00065,-0.00298,-0.00354,-0.00393,-0.00067,-0.00328,-0.00383,-0.00535,-0.01003,0.0004,-0.00143,-0.00326,-0.00328,-0.00365
1955-12-30,0.00152,0.00092,0.0007,0.0003,0.00081,0.00045,0.00107,0.0003,0.00096,-0.00105,0.00025,0.00183,0.00116,0.0006,0.00069,0.00088,-0.00038
1956-01-31,0.00277,0.00417,0.00668,0.00545,0.00688,0.00781,0.00702,0.00363,0.00496,0.00829,0.01095,0.01441,0.00361,0.00638,0.00719,0.00617,0.00718
